ProductID,ProductName,Category,Price
P001,ActiveWear Biography,Books,169.3
P002,ActiveWear Smartwatch,Electronics,346.3
P003,ComfortLiving Biography,Books,44.12
P004,BookWorld Rug,Home Decor,95.69
P005,TechPro T-Shirt,Clothing,429.31
P006,ActiveWear Rug,Home Decor,121.32
P007,SoundWave Cookbook,Books,420.15
P008,BookWorld Bluetooth Speaker,Electronics,146.85
P009,BookWorld Wall Art,Home Decor,325.01
P010,ComfortLiving Smartwatch,Electronics,350.13
P011,SoundWave Desk Lamp,Home Decor,261.2
P012,ComfortLiving Headphones,Electronics,159.6
P013,BookWorld Smartwatch,Electronics,114.2
P014,ActiveWear Jacket,Clothing,26.26
P015,HomeSense Headphones,Electronics,158.93
P016,ActiveWear Running Shoes,Clothing,330.05
P017,ActiveWear Textbook,Books,469.77
P018,ComfortLiving Mystery Book,Books,436.89
P019,ComfortLiving Sweater,Clothing,385.37
P020,ActiveWear Jacket,Clothing,396.34
P021,SoundWave Rug,Home Decor,335.84
P022,HomeSense Wall Art,Home Decor,137.54
P023,ActiveWear Cookware Set,Home Decor,454.53
P024,SoundWave Cookbook,Books,338.66
P025,ActiveWear Cookware Set,Home Decor,284.62
P026,SoundWave Bluetooth Speaker,Electronics,64.38
P027,SoundWave Headphones,Electronics,229.06
P028,HomeSense Desk Lamp,Home Decor,235.58
P029,TechPro Headphones,Electronics,433.64
P030,ActiveWear Cookbook,Books,277.86
P031,SoundWave Headphones,Electronics,196.4
P032,BookWorld Cookbook,Books,488.63
P033,TechPro T-Shirt,Clothing,64.25
P034,HomeSense T-Shirt,Clothing,217.05
P035,ActiveWear T-Shirt,Clothing,30.59
P036,BookWorld Jacket,Clothing,372.55
P037,SoundWave Smartwatch,Electronics,459.86
P038,TechPro Vase,Home Decor,147.22
P039,TechPro Smartwatch,Electronics,430.59
P040,SoundWave Mystery Book,Books,153.19
P041,ComfortLiving Smartphone,Electronics,456.28
P042,ActiveWear Headphones,Electronics,379.44
P043,SoundWave Novel,Books,404.4
P044,ActiveWear Running Shoes,Clothing,18.82
P045,SoundWave T-Shirt,Clothing,481.78
P046,BookWorld Sweater,Clothing,366.07
P047,ComfortLiving Cookware Set,Home Decor,159.33
P048,TechPro Cookbook,Books,416.4
P049,TechPro Textbook,Books,147.95
P050,ActiveWear Smartwatch,Electronics,437.65
P051,ComfortLiving Desk Lamp,Home Decor,65.16
P052,SoundWave Jacket,Clothing,354.81
P053,TechPro Rug,Home Decor,274.94
P054,SoundWave Cookbook,Books,57.3
P055,BookWorld Biography,Books,128.53
P056,SoundWave Smartwatch,Electronics,16.08
P057,ActiveWear Smartphone,Electronics,239.7
P058,ActiveWear Textbook,Books,157.62
P059,SoundWave Jeans,Clothing,303.2
P060,HomeSense T-Shirt,Clothing,155.65
P061,HomeSense Desk Lamp,Home Decor,156.96
P062,HomeSense Novel,Books,374.16
P063,TechPro Novel,Books,33.59
P064,HomeSense Running Shoes,Clothing,452.42
P065,BookWorld Sweater,Clothing,427.61
P066,SoundWave Textbook,Books,337.22
P067,ComfortLiving Bluetooth Speaker,Electronics,300.68
P068,TechPro Novel,Books,447.23
P069,BookWorld Biography,Books,100.81
P070,HomeSense T-Shirt,Clothing,48.69
P071,TechPro T-Shirt,Clothing,127.36
P072,ActiveWear Headphones,Electronics,399.34
P073,ComfortLiving Laptop,Electronics,26.99
P074,SoundWave Desk Lamp,Home Decor,295.58
P075,TechPro Textbook,Books,497.76
P076,ActiveWear Jeans,Clothing,429.29
P077,ActiveWear Smartwatch,Electronics,265.51
P078,HomeSense Rug,Home Decor,41.18
P079,ActiveWear Rug,Home Decor,417.37
P080,ActiveWear Jacket,Clothing,303.5
P081,HomeSense Sweater,Clothing,66.32
P082,ComfortLiving Rug,Home Decor,55.99
P083,ActiveWear Smartwatch,Electronics,455.72
P084,ActiveWear Wall Art,Home Decor,337.91
P085,BookWorld Biography,Books,416.35
P086,SoundWave Novel,Books,440.7
P087,TechPro Running Shoes,Clothing,290.17
P088,SoundWave Headphones,Electronics,263.55
P089,HomeSense Bluetooth Speaker,Electronics,220.91
P090,ComfortLiving Biography,Books,165.3
P091,HomeSense Rug,Home Decor,222.95
P092,BookWorld Running Shoes,Clothing,389.2
P093,TechPro Vase,Home Decor,304.94
P094,HomeSense Cookware Set,Home Decor,447.34
P095,BookWorld Cookware Set,Home Decor,227.26
P096,SoundWave Headphones,Electronics,307.47
P097,BookWorld Cookbook,Books,319.34
P098,SoundWave Laptop,Electronics,299.93
P099,SoundWave Mystery Book,Books,354.29
P100,HomeSense Sweater,Clothing,126.34
